Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
5.056835,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9990000,0.20000,4.50000,-10.40000
5.106640,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0100000,0.9960000,0.20000,4.50000,-10.50000
5.156640,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0120000,0.9980000,-0.10000,4.40000,-10.50000
5.205715,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9950000,0.00000,4.40000,-10.40000
5.256193,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9970000,0.00000,4.30000,-10.40000
5.305910,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9960000,0.10000,4.40000,-10.50000
5.355658,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9970000,0.30000,4.40000,-10.40000
5.405781,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0120000,0.9960000,0.40000,4.40000,-10.40000
5.456907,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9960000,0.20000,4.50000,-10.50000
5.505557,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9960000,0.10000,4.50000,-10.40000
5.556424,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9970000,0.00000,4.50000,-10.60000
5.605378,-0.3660000,-0.0000000,0.0000000,-0.0010000,-0.0090000,0.9960000,0.10000,4.40000,-10.60000
5.658343,-0.3660000,-0.1830000,0.0000000,-0.0000000,-0.0120000,0.9980000,0.10000,4.40000,-10.50000
5.704914,-0.0610000,-0.0610000,0.0000000,-0.0000000,-0.0110000,0.9960000,0.20000,4.40000,-10.60000
5.760510,-0.0000000,-0.0000000,-0.0610000,0.0010000,-0.0130000,0.9970000,0.20000,4.40000,-10.60000
5.804942,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9980000,0.10000,4.40000,-10.60000
5.862994,-0.0610000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9940000,0.00000,4.40000,-10.60000
5.904684,0.0610000,-0.0000000,0.0610000,0.0000000,-0.0110000,0.9970000,0.00000,4.30000,-10.70000
5.954653,-0.0000000,0.0610000,0.0000000,0.0010000,-0.0120000,0.9970000,0.10000,4.40000,-10.60000
6.004562,-0.3050000,-0.0000000,-10.8030000,-0.0030000,-0.0350000,0.9970000,0.10000,4.40000,-10.50000
6.054884,-0.3050000,-0.1830000,0.1220000,-0.0000000,-0.0110000,0.9970000,0.10000,4.40000,-10.60000
6.104511,-0.0610000,-0.0000000,0.1220000,0.0060000,-0.0120000,0.9950000,0.00000,4.40000,-10.60000
6.154884,-0.1220000,-0.0610000,0.0000000,0.0000000,-0.0120000,0.9970000,0.00000,4.40000,-10.50000
6.204116,-0.2440000,-0.0610000,0.0000000,0.0010000,-0.0130000,0.9970000,-0.10000,4.40000,-10.60000
6.253629,-0.0000000,-0.0610000,0.0000000,0.0010000,-0.0130000,0.9990000,0.00000,4.40000,-10.50000
6.303894,0.0610000,0.0610000,0.0000000,0.0010000,-0.0120000,0.9980000,0.00000,4.50000,-10.50000
6.353798,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9970000,0.10000,4.40000,-10.50000
6.404150,0.1220000,-0.0000000,0.0000000,0.0000000,-0.0120000,0.9980000,0.00000,4.50000,-10.50000
6.453552,-0.0610000,-0.0000000,0.0000000,0.0030000,-0.0130000,0.9980000,0.10000,4.50000,-10.40000
6.503106,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9980000,0.10000,4.50000,-10.40000
6.552630,0.2440000,0.0610000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.00000,4.40000,-10.50000
6.602701,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0130000,0.9980000,0.00000,4.30000,-10.30000
6.657155,0.1830000,-0.0000000,0.0000000,0.0010000,-0.0110000,1.0000000,0.00000,4.40000,-10.50000
6.702639,-0.0610000,-0.0000000,0.0000000,0.0020000,-0.0120000,0.9990000,0.00000,4.40000,-10.60000
6.752236,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9970000,0.10000,4.30000,-10.60000
6.805420,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0120000,0.9980000,0.00000,4.40000,-10.60000
6.852292,-0.0000000,-0.0000000,0.0610000,0.0020000,-0.0120000,0.9960000,0.00000,4.50000,-10.60000
6.902768,0.0610000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9980000,0.10000,4.40000,-10.50000
6.951987,-0.0610000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9980000,0.10000,4.50000,-10.70000
7.003868,-0.1220000,-0.0610000,0.0000000,0.0010000,-0.0120000,0.9980000,0.00000,4.40000,-10.40000
7.051877,0.0610000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.00000,4.40000,-10.50000
7.103895,0.0610000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9980000,-0.10000,4.50000,-10.40000
7.151867,0.1220000,-0.0000000,0.0000000,0.0020000,-0.0120000,0.9950000,0.00000,4.50000,-10.60000
7.202641,0.0610000,-0.0610000,0.0000000,0.0010000,-0.0110000,0.9980000,0.00000,4.40000,-10.50000
