Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
8.380522,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9950000,8.10000,0.00000,-28.50000
8.425170,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0110000,0.9950000,8.20000,0.00000,-28.40000
8.476553,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9950000,8.20000,0.00000,-28.30000
8.526950,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9960000,8.30000,0.00000,-28.30000
8.576939,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.30000,0.00000,-28.30000
8.624819,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9940000,8.20000,0.00000,-28.30000
8.676582,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0110000,0.9950000,8.10000,0.00000,-28.40000
8.724585,-0.0000000,-0.0000000,0.0000000,0.0010000,0.0120000,0.9960000,8.20000,0.00000,-28.30000
8.790958,0.3050000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.30000,0.00000,-28.40000
8.824584,-0.0610000,-0.1830000,0.0000000,0.0010000,0.0140000,0.9960000,8.10000,0.00000,-28.40000
8.874193,0.0610000,-0.0000000,0.0000000,0.0010000,0.0130000,0.9950000,8.20000,0.00000,-28.30000
8.924252,0.1220000,0.1220000,-0.0610000,0.0030000,0.0120000,0.9960000,8.20000,0.00000,-28.40000
8.976069,-0.6100000,-0.3660000,-33.5690000,-0.0250000,-0.0460000,0.9970000,8.30000,0.00000,-28.40000
9.023941,-0.1220000,-0.0000000,-9.7660000,-0.0000000,0.0160000,0.9940000,8.20000,0.00000,-28.40000
9.073797,-0.7320000,-0.1830000,0.0000000,0.0020000,0.0130000,0.9960000,8.10000,0.00000,-28.60000
9.123699,-0.9770000,-0.3660000,0.0610000,0.0030000,0.0090000,0.9950000,8.10000,0.10000,-28.50000
9.173519,0.3050000,0.1220000,0.0000000,0.0030000,0.0110000,0.9950000,8.20000,0.10000,-28.50000
9.223387,0.1220000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9950000,8.30000,0.10000,-28.40000
9.273216,0.3660000,0.1220000,0.0000000,0.0020000,0.0120000,0.9950000,8.40000,0.10000,-28.40000
9.323050,0.2440000,-0.0000000,0.0000000,0.0020000,0.0090000,0.9950000,8.20000,0.10000,-28.40000
9.372862,-0.0000000,-0.0610000,-3.3570000,0.0070000,0.0160000,0.9960000,8.20000,0.10000,-28.30000
9.422691,-0.1830000,-0.0000000,0.0000000,0.0010000,0.0130000,0.9960000,8.20000,0.10000,-28.30000
9.472532,-0.1220000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.20000,0.10000,-28.40000
9.543301,-0.2440000,-0.1830000,-0.0610000,0.0050000,0.0110000,0.9960000,8.30000,0.20000,-28.40000
9.572485,0.1220000,0.1220000,0.0610000,0.0020000,0.0110000,0.9960000,8.40000,0.10000,-28.20000
9.626237,-0.4880000,-0.4270000,0.0000000,-0.0000000,0.0190000,0.9940000,8.40000,0.10000,-28.30000
9.673950,1.9530000,0.7320000,-4.2720000,-0.0020000,0.1040000,0.9930000,8.30000,0.20000,-28.40000
9.722423,-0.2440000,-0.1830000,-9.3380000,-0.0270000,-0.0590000,0.9940000,8.40000,0.30000,-28.30000
9.774542,-0.9160000,-0.3660000,0.0000000,0.0020000,0.0130000,0.9970000,8.30000,0.30000,-28.30000
9.822004,-0.6710000,-0.3050000,0.0000000,0.0020000,0.0130000,0.9960000,8.20000,0.30000,-28.40000
9.871672,-1.0380000,-0.4880000,0.0610000,0.0010000,0.0120000,0.9950000,8.50000,0.50000,-28.40000
9.921569,-1.4650000,-0.5490000,0.0000000,0.0090000,-0.0010000,0.9930000,8.40000,0.30000,-28.50000
9.972946,0.3050000,0.1220000,0.0000000,0.0160000,-0.0220000,0.9890000,8.30000,0.40000,-28.40000
10.021497,-0.0000000,-0.0610000,0.0000000,0.0010000,0.0120000,0.9940000,8.30000,0.40000,-28.50000
10.070823,-0.0000000,-0.0610000,0.0000000,0.0020000,0.0110000,0.9960000,8.00000,0.20000,-28.20000
10.121382,-0.0000000,-0.0610000,0.0000000,0.0010000,0.0110000,0.9950000,8.30000,0.20000,-28.30000
10.171771,-0.0000000,-0.0000000,0.0000000,0.0010000,0.0100000,0.9940000,8.40000,0.30000,-28.40000
10.220565,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0100000,0.9960000,8.30000,0.30000,-28.40000
10.270484,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9950000,8.20000,0.30000,-28.40000
10.325140,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0100000,0.9960000,8.20000,0.30000,-28.40000
10.372929,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9960000,8.20000,0.30000,-28.50000
10.420566,-0.1220000,-0.1830000,0.0000000,0.0030000,0.0100000,0.9950000,8.40000,0.30000,-28.50000
10.471226,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0100000,0.9950000,8.40000,0.50000,-28.40000
10.519539,-0.1220000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9950000,8.30000,0.40000,-28.30000
10.573996,-0.2440000,-0.1220000,0.0000000,0.0020000,0.0110000,0.9950000,8.30000,0.40000,-28.30000
10.620453,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.20000,0.30000,-28.40000
10.669396,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0100000,0.9960000,8.10000,0.40000,-28.40000
10.719245,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0130000,0.9950000,8.10000,0.30000,-28.40000
10.772168,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9950000,8.20000,0.30000,-28.50000
10.822551,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.20000,0.40000,-28.40000
10.868941,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9950000,8.30000,0.30000,-28.40000
10.918769,-0.0000000,-0.0000000,0.0000000,0.0010000,0.0100000,0.9960000,8.30000,0.20000,-28.40000
10.968707,-0.0000000,-0.0000000,0.0000000,0.0010000,0.0110000,0.9950000,8.20000,0.40000,-28.40000
11.020177,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9950000,8.20000,0.30000,-28.50000
11.068876,-0.0000000,-0.0000000,0.0000000,0.0010000,0.0110000,0.9950000,8.20000,0.30000,-28.40000
